INSTRUMENT_ID;INSTRUMENT_TYPE;TRADE_CODE
10426;Еврооблигация;RU000A0JXTS9
10425;Еврооблигация;RU000A0JXU14
10929;Еврооблигация;RU000A0ZYYN4
5402;Еврооблигация;XS0971722342
9699;Облигация федерального займа;SU24019RMFS0
10597;Облигация федерального займа;SU25083RMFS5
4087;Облигация федерального займа;SU26205RMFS3
4134;Облигация федерального займа;SU26207RMFS9
4143;Облигация федерального займа;SU26208RMFS7
4389;Облигация федерального займа;SU26209RMFS5
4654;Облигация федерального займа;SU26210RMFS3
4791;Облигация федерального займа;SU26211RMFS1
4793;Облигация федерального займа;SU26212RMFS9
5179;Облигация федерального займа;SU26214RMFS5
5374;Облигация федерального займа;SU26215RMFS2
5547;Облигация федерального займа;SU26216RMFS0
9070;Облигация федерального займа;SU26217RMFS8
8657;Облигация федерального займа;SU26218RMFS6
9438;Облигация федерального займа;SU26219RMFS4
9805;Облигация федерального займа;SU26220RMFS2
9817;Облигация федерального займа;SU26221RMFS0
9950;Облигация федерального займа;SU26222RMFS8
10848;Облигация федерального займа;SU26223RMFS6
10853;Облигация федерального займа;SU26224RMFS4
10855;Облигация федерального займа;SU26225RMFS1
8651;Облигация федерального займа;SU29006RMFS2
8652;Облигация федерального займа;SU29007RMFS0
8648;Облигация федерального займа;SU29008RMFS8
8649;Облигация федерального займа;SU29009RMFS6
8650;Облигация федерального займа;SU29010RMFS4
8655;Облигация федерального займа;SU29011RMFS2
9700;Облигация федерального займа;SU29012RMFS0
4090;Облигация федерального займа;SU46005RMFS3
4092;Облигация федерального займа;SU46011RMFS1
4093;Облигация федерального займа;SU46012RMFS9
4096;Облигация федерального займа;SU46018RMFS6
4097;Облигация федерального займа;SU46019RMFS4
4098;Облигация федерального займа;SU46020RMFS2
4100;Облигация федерального займа;SU46022RMFS8
4101;Облигация федерального займа;SU46023RMFS6
8942;Облигация федерального займа;SU52001RMFS3
10919;Облигация федерального займа;SU52002RMFS1
9937;Облигация федерального займа;SU53001RMFS2
10534;Облигация федерального займа;SU53002RMFS0
10912;Облигация федерального займа;SU53003RMFS8
1269;Еврооблигация;XS0088543193
1242;Еврооблигация;US78307AAE38
1271;Еврооблигация;XS0114288789
1245;Еврооблигация;US78307ACZ49
9634;Облигация субфедеральная;RU000A0JWZ77
10610;Облигация субфедеральная;RU000A0ZYDU3
11431;Облигация субфедеральная;RU000A0ZZQH9
5528;Облигация субфедеральная;RU000A0JU9G2
9630;Облигация субфедеральная;RU000A0JWY29
9054;Облигация субфедеральная;RU000A0JVUW3
11433;Облигация субфедеральная;RU000A0ZZQQ0
